method,hypervolume,igd_plus,pareto_archive_size,best_throughput,best_interference,best_energy,valid_ratio_before_repair,runtime_seconds
Random,1.0169904800000003,0.04105107485680616,19,6.420666926181132,0.0,1.767437086704594,1.0,0.014996528625488281
Greedy,0.8681314400000003,0.11139797357282381,5,6.4702996084188555,0.0,2.412314029568021,1.0,0.002997875213623047
QAOA-balanced,1.0321638800000001,0.015049276024295122,20,6.50403987944652,0.0,1.767437086704594,0.5541666666666667,0.21989202499389648
QAOA-pareto-sweep,1.0692721600000004,0.0,20,6.50403987944652,0.0,1.767437086704594,0.23688196581467189,5.585461854934692
