case_name,seed,iteration,phase,selected_action,selected_weight_index,w1,w2,w3,w_throughput,w_interference,w_energy,cvar_alpha,hv_before,hv_after,delta_hv,normalized_hv_before,normalized_hv_after,delta_normalized_hv,archive_size_before,archive_size_after,archive_size,delta_archive_size,coverage_before,coverage_after,delta_coverage,feasibility_rate,valid_sample_efficiency,duplicate_rate,num_unique_samples,num_non_dominated_candidates,num_archive_additions,penalty,shots,n_most_prob,substitution_factor,candidate_selection_mode,warm_start_mode,parameter_transfer_mode,reward,selection_score,exploration_bonus,exploitation_score,coverage_novelty_score,stagnation_counter,reason_for_action,method
main_dense_small_cell,0,2,fixed,weight_1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.2,0.6915044636089076,0.9193055493650157,0.22780108575610813,0.6915044636089076,0.9193055493650157,0.22780108575610813,10,11,11,1,0.3,0.4,0.10000000000000003,1.0,1.0,0.0,10,10,1,20.0,96,10,2,diverse,none,nearest_weight,0.3366759751467036,1.0,0.0,0.0,0.7,0,fixed_cyclic_schedule,Fixed Pareto-QAOA
main_dense_small_cell,0,1,warmup,weight_0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.6624247602520371,0.6624247602520371,0.0,0.6624247602520371,0.6624247602520371,0,3,3,3,0.0,0.3,0.3,1.0,0.3,0.0,10,3,3,20.0,96,10,2,diverse,none,nearest_weight,0.8902647451386493,,0.0,0.0,1.0,0,warmup_sweep,Adaptive weights only
main_dense_small_cell,0,2,warmup,weight_1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.2,0.6624247602520371,0.7274157812679121,0.06499102101587495,0.6624247602520371,0.7274157812679121,0.06499102101587495,3,3,3,0,0.3,0.3,0.0,1.0,1.0,0.0,10,10,0,20.0,96,10,2,diverse,none,nearest_weight,0.11174558738925341,,0.0,0.0,0.7,0,warmup_sweep,Adaptive weights only
main_dense_small_cell,0,1,adaptive,weight_0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.22000000000000003,0.0,0.6624247602520371,0.6624247602520371,0.0,0.6624247602520371,0.6624247602520371,0,3,3,3,0.0,0.3,0.3,1.0,0.3,0.0,10,3,3,20.0,96,10,2,diverse,none,nearest_weight,0.8902647451386493,0.0,0.0,0.0,1.0,0,best_ucb_score,Adaptive CVaR only
main_dense_small_cell,0,2,adaptive,weight_1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.24200000000000005,0.6624247602520371,0.7501475244325342,0.08772276418049707,0.6624247602520371,0.7501475244325342,0.08772276418049707,3,9,9,6,0.3,0.4,0.10000000000000003,1.0,1.0,0.0,10,10,6,20.0,96,10,2,diverse,none,nearest_weight,0.4533771602807503,1.0,0.0,0.0,0.7,0,best_ucb_score,Adaptive CVaR only
main_dense_small_cell,0,1,adaptive,weight_0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.6624247602520371,0.6624247602520371,0.0,0.6624247602520371,0.6624247602520371,0,3,3,3,0.0,0.3,0.3,1.0,0.3,0.0,10,3,3,20.0,96,10,2,diverse,none,nearest_weight,0.8902647451386493,0.0,0.0,0.0,1.0,0,best_ucb_score,Adaptive candidate diversity only
main_dense_small_cell,0,2,adaptive,weight_1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.2,0.6624247602520371,0.7501475244325342,0.08772276418049707,0.6624247602520371,0.7501475244325342,0.08772276418049707,3,9,9,6,0.3,0.4,0.10000000000000003,1.0,1.0,0.0,10,10,6,20.0,96,10,2,diverse,none,nearest_weight,0.4533771602807503,1.0,0.0,0.0,0.7,0,best_ucb_score,Adaptive candidate diversity only
main_dense_small_cell,0,1,adaptive,weight_0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.6624247602520371,0.6624247602520371,0.0,0.6624247602520371,0.6624247602520371,0,3,3,3,0.0,0.3,0.3,1.0,0.3,0.0,10,3,3,20.0,96,10,2,diverse,none,nearest_weight,0.8902647451386493,0.0,0.0,0.0,1.0,0,best_ucb_score,Adaptive resources only
main_dense_small_cell,0,2,adaptive,weight_1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.2,0.6624247602520371,0.7501475244325342,0.08772276418049707,0.6624247602520371,0.7501475244325342,0.08772276418049707,3,9,9,6,0.3,0.4,0.10000000000000003,1.0,1.0,0.0,10,10,6,20.0,96,10,2,diverse,none,nearest_weight,0.4533771602807503,1.0,0.0,0.0,0.7,0,best_ucb_score,Adaptive resources only
main_dense_small_cell,0,1,warmup,weight_0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.22000000000000003,0.0,0.6624247602520371,0.6624247602520371,0.0,0.6624247602520371,0.6624247602520371,0,3,3,3,0.0,0.3,0.3,1.0,0.3,0.0,10,3,3,20.0,96,10,2,diverse,none,nearest_weight,0.8902647451386493,,0.0,0.0,1.0,0,warmup_sweep,Adaptive weights + CVaR
