method,hypervolume,pareto_size,best_throughput,best_interference,best_energy,feasibility_rate,objective_evaluations,runtime_seconds,hv_at_25pct,hv_at_50pct,hv_at_75pct,hv_at_100pct,final_hv,auc_hv,normalized_final_hv,normalized_auc_hv,evals_to_90pct_ref_hv,hv_per_valid_eval,hypervolume_reference,exact_pareto_size,exact_pareto_hv,direction_coverage,valid_sample_efficiency
Random,97.76781341026395,15,13.853616033765825,0.44455556567212046,2.288450096995305,1.0,600,0.03998851776123047,93.26527829077112,96.21906906065118,97.38994107754057,97.70394766388817,97.76781341026395,93.01295537113143,1.0,0.9513658138268913,18,0.16294635568377325,"[-3.3265945807423023, 3.7861765387573065, 5.314346433719536]",15,97.76781341026395,0.5,1.0
Greedy,97.66669264516896,15,13.853616033765825,0.44455556567212046,2.288450096995305,1.0,1032,0.04599881172180176,88.40083727514885,88.40083727514885,91.30672873524706,91.30672873524706,97.66669264516896,87.46724424653063,0.9989657049537289,0.8946425331155873,45,0.09463826806702419,"[-3.3265945807423023, 3.7861765387573065, 5.314346433719536]",15,97.76781341026395,0.5,1.0
Evolutionary MOO,95.25043857395177,13,13.853616033765825,0.44455556567212046,2.398935823275624,1.0,600,0.07600688934326172,85.79830811033563,89.36414561631693,91.8761983070978,91.8761983070978,95.25043857395177,87.81922434124414,0.974251497005988,0.898242696425331,140,0.1587507309565863,"[-3.3265945807423023, 3.7861765387573065, 5.314346433719536]",15,97.76781341026395,0.5,1.0
Quantum-Seeded Evolutionary MOO,97.76781341026395,15,13.853616033765825,0.44455556567212046,2.288450096995305,1.0,600,0.09300804138183594,97.74652482813869,97.75184697367001,97.76781341026395,97.76781341026395,97.76781341026395,96.97139217787084,1.0,0.9918539527006595,10,0.16294635568377325,"[-3.3265945807423023, 3.7861765387573065, 5.314346433719536]",15,97.76781341026395,0.5,1.0
Fixed Pareto-QAOA,97.48573969710425,12,13.853616033765825,0.44455556567212046,2.288450096995305,1.0,400,0.4802823066711426,96.42131059084116,97.48041755157291,97.48307862433859,97.48573969710425,97.48573969710425,91.58693969747081,0.9971148611867175,0.936780076211214,40,0.24371434924276061,"[-3.3265945807423023, 3.7861765387573065, 5.314346433719536]",15,97.76781341026395,0.5,0.03
AI-Adaptive Pareto-QAOA,97.49106184263556,11,13.853616033765825,0.44455556567212046,2.288450096995305,1.0,420,0.5732717514038086,97.04932376353638,97.3367196222274,97.39881132009275,97.49106184263556,97.49106184263556,92.0624349629761,0.9971692977681003,0.9416435916046693,40,0.23212157581579895,"[-3.3265945807423023, 3.7861765387573065, 5.314346433719536]",15,97.76781341026395,0.5,0.02619047619047619
AI-Pareto-QAOA Ensemble,97.49106184263556,12,13.853616033765825,0.44455556567212046,2.288450096995305,1.0,820,1.0535540580749512,97.03069625417677,97.48041755157291,97.48269847108634,97.49106184263556,97.49106184263556,91.92929127061169,0.9971692977681003,0.9402817559685821,40,0.1188915388324824,"[-3.3265945807423023, 3.7861765387573065, 5.314346433719536]",15,97.76781341026395,0.5,0.014634146341463415
