case_name,metric,mean_difference,median_difference,std_difference,win_rate,paired_sign_test_p,bootstrap_ci95_low,bootstrap_ci95_high,wilcoxon_p
channel_rich_7x4,final_hv,-0.07498131486772619,-0.18623612665682654,0.15515947254646503,0.4,1.0,-0.20409545519864328,0.057999363834077375,
energy_dominated_case,final_hv,-0.03448004049329989,-0.022845833810110405,0.1029248468050852,0.4,1.0,-0.1292285069891324,0.045919576162724504,
high_conflict_tradeoff_case,final_hv,-0.051893012577074016,-0.024367430689853142,0.06336188372315994,0.4,1.0,-0.11382437049804377,0.00024243181565481998,
interference_dominated_case,final_hv,-0.022060902147351503,0.0014936317686342626,0.07451911802316714,0.6,1.0,-0.0879185305612427,0.04137472469624647,
main_dense_small_cell,final_hv,-0.06707715027698766,-0.027231400239252634,0.07223210302168505,0.2,0.375,-0.14036752778461992,-0.011842991078938861,
