case_name,seed_count,method,mean_final_hv,std_final_hv,mean_normalized_final_hv,std_normalized_final_hv,mean_auc_hv,std_auc_hv,mean_normalized_auc_hv,std_normalized_auc_hv,mean_archive_size,mean_direction_coverage,mean_runtime,win_rate_vs_nsga2,win_rate_vs_moead,win_rate_vs_classical_seeded_ea,win_rate_vs_fixed_qaoa,users,channels,feasible_space_size,budget,conflict_level
scale_10x3,5,Quantum-Seeded Evolutionary MOO,0.9355404555836871,0.02779931803516504,0.9906898936256887,0.00845570100746389,0.9183516901883365,0.028318489228040727,0.9724571698817707,0.00861707301581286,52.6,0.7,0.4000650405883789,1.0,1.0,1.0,1.0,10,3,59049,500,high
scale_10x3,5,Random,0.7112055175742925,0.03529374572792068,0.7529164214760782,0.024060014198584313,0.6224256734785226,0.046848281989728895,0.6581363697346407,0.027823103916856246,23.2,0.5199999999999999,0.28885517120361326,0.2,0.0,0.0,0.0,10,3,59049,500,high
scale_6x3,3,AI-Adaptive Pareto-QAOA,1.139987567126573,0.024213876250621682,0.9954926440491342,0.001534192435830152,1.0667010581868424,0.01964872394772279,0.9315567667593223,0.004583579845243671,11.666666666666666,0.4666666666666666,0.6667561531066895,1.0,1.0,0.6666666666666666,0.6666666666666666,6,3,729,200,medium
scale_6x3,3,Classical-Seeded Evolutionary MOO,1.064104196176376,0.02081541761944811,0.9300715982036302,0.03862317056902433,1.0274871886014896,0.018053442716888503,0.8980319108636846,0.035746170355043086,16.333333333333332,0.4666666666666666,0.028111855189005535,1.0,1.0,0.0,0.3333333333333333,6,3,729,200,medium
scale_6x3,3,Fixed Pareto-QAOA,1.1408585668072355,0.025161423543754936,0.9962356683988353,0.0011826814154446393,1.0618345024345142,0.014326962584443551,0.9274115408176771,0.008963641211272376,11.666666666666666,0.5,0.7256437142690023,1.0,1.0,0.6666666666666666,0.0,6,3,729,200,medium
scale_6x3,3,MOEA/D-style,1.077767445128016,0.04387778588987891,0.9407482702053489,0.016746479251004025,0.9615911662617149,0.021076347771119417,0.8398922262616785,0.018390688975532504,10.0,0.43333333333333335,0.09047055244445801,0.6666666666666666,0.0,0.0,0.0,6,3,729,200,medium
scale_6x3,3,NSGA-II-style,0.9844075126755237,0.054973440952359676,0.8589793675543161,0.02895496984501791,0.8841785127610557,0.043565538043063484,0.772367024389032,0.040091482892747575,10.333333333333334,0.3666666666666667,0.21856284141540527,0.0,0.3333333333333333,0.0,0.0,6,3,729,200,medium
scale_6x3,3,Quantum-Seeded Evolutionary MOO,1.1431125688016952,0.025346781491301793,0.9982005920961434,0.0005784885293226656,1.1247434769397833,0.022902938318430228,0.982203024758983,0.003486457460827218,14.333333333333334,0.5,0.023313045501708984,1.0,1.0,1.0,1.0,6,3,729,200,medium
scale_6x3,3,Random,1.0452437422060274,0.030870803425361436,0.9125938205153804,0.0072889027984732934,0.9109191767505335,0.04329354584088712,0.7950967319658836,0.02422464267131197,8.333333333333334,0.43333333333333335,0.020283063252766926,0.6666666666666666,0.0,0.0,0.0,6,3,729,200,medium
scale_9x3,5,AI-Adaptive Pareto-QAOA,0.9716645680473308,0.0552667771746325,0.9930091971322227,0.0038932299424474645,0.8802119427249645,0.05645136073477345,0.8993285487475136,0.0189050640073905,48.2,0.74,3.86275577545166,1.0,1.0,0.4,0.6,9,3,19683,400,high
scale_9x3,5,Classical-Seeded Evolutionary MOO,0.8926350326370865,0.061429541359725066,0.911819308657452,0.02347648150737156,0.8696728859152424,0.06369966306490865,0.8882642840832882,0.029519003308445913,30.0,0.64,0.2651159763336181,1.0,0.8,0.0,0.6,9,3,19683,400,high
scale_9x3,5,Fixed Pareto-QAOA,0.967680043280037,0.061178269408283775,0.9886236838304729,0.009518225319521673,0.8818987552770476,0.06959875314234651,0.900384314104226,0.02684775748131581,48.4,0.7,3.820084238052368,1.0,1.0,0.4,0.0,9,3,19683,400,high
scale_9x3,5,MOEA/D-style,0.8880260800605552,0.07751166164993219,0.906767333043845,0.04714189320417071,0.765694810464048,0.07648364697566427,0.7817157473554327,0.055008102555181515,29.4,0.7600000000000001,1.7220354557037354,0.2,0.0,0.2,0.0,9,3,19683,400,high
scale_9x3,5,NSGA-II-style,0.8524694179037902,0.10692546828299611,0.867858905637695,0.057146083727344706,0.7552326472693123,0.08424853797826877,0.7694374810663307,0.03983677753463485,27.4,0.6599999999999999,1.4173813819885255,0.0,0.8,0.0,0.0,9,3,19683,400,high
scale_9x3,5,Quantum-Seeded Evolutionary MOO,0.9733350518484386,0.059009642303651126,0.994511215763087,0.0042484120682446955,0.9572531692899547,0.05999546551615108,0.9779584285265587,0.00419595102636075,50.0,0.74,0.37916979789733884,1.0,1.0,1.0,1.0,9,3,19683,400,high
scale_9x3,5,Random,0.8043900059263119,0.07264904842993686,0.8206822599573999,0.03281802959372345,0.7279494003851358,0.08521802052011714,0.7415452340079841,0.04695305168255515,21.2,0.56,0.22756900787353515,0.0,0.4,0.0,0.0,9,3,19683,400,high
