case_name,seed_count,method,mean_final_hv,std_final_hv,mean_normalized_final_hv,std_normalized_final_hv,mean_auc_hv,std_auc_hv,mean_normalized_auc_hv,std_normalized_auc_hv,mean_archive_size,mean_direction_coverage,mean_runtime,win_rate_vs_nsga2,win_rate_vs_moead,win_rate_vs_classical_seeded_ea,win_rate_vs_fixed_qaoa,users,channels,feasible_space_size,budget,conflict_level
main_budget_100,3,AI-Adaptive Pareto-QAOA,1.0237419101217635,0.020545106052831053,0.9969973491801906,0.002802912588519875,0.6975194350295717,0.0312467505754185,0.6791187277697505,0.022765352475208462,33.333333333333336,0.6333333333333333,3.0439318815867105,0.6666666666666666,1.0,0.0,0.3333333333333333,8,3,6561,100,high
main_budget_100,3,Classical-Seeded Evolutionary MOO,0.8990517977215066,0.0428201245580761,0.8754448105094612,0.03531918286417867,0.8530225140069218,0.037381459475965294,0.8310247679671635,0.03883807728059924,14.666666666666666,0.6333333333333333,0.05663919448852537,1.0,1.0,0.0,1.0,8,3,6561,100,high
main_budget_100,3,Fixed Pareto-QAOA,1.0210315745441008,0.01846623519047251,0.9943956335794876,0.0029381066344329313,0.6987855090627405,0.016433678226719126,0.6804799501958234,0.002547567334658019,30.0,0.6666666666666666,3.2286174297332764,0.6666666666666666,1.0,0.0,0.0,8,3,6561,100,high
main_budget_100,3,MOEA/D-style,0.7370593543079123,0.05122559146970533,0.7190224759731664,0.06325589864905974,0.594246268783999,0.06745083632063276,0.5796150620334269,0.07131777608835303,9.666666666666666,0.5,0.09695561726888018,0.0,0.0,0.0,0.0,8,3,6561,100,high
main_budget_100,3,NSGA-II-style,0.7564865089312454,0.015112276029235108,0.7370672703107366,0.022713249643947362,0.6717057086708232,0.013505730188276603,0.6546777685846639,0.026158361587071174,10.0,0.5,0.20616491635640455,0.0,1.0,0.0,0.3333333333333333,8,3,6561,100,high
main_budget_100,3,Quantum-Seeded Evolutionary MOO,1.0254883308461895,0.019699550710330825,0.9987108057546163,0.0009754029378469367,0.9744839693070029,0.029456040900755688,0.9488795960872244,0.014213383871127878,34.666666666666664,0.6666666666666666,0.10901006062825518,1.0,1.0,1.0,1.0,8,3,6561,100,high
main_budget_100,3,Random,0.7338394332482069,0.04947559087634645,0.7141101335661485,0.037080833572239846,0.6159117878058858,0.05029275632078458,0.5996114597618799,0.045080265726320304,10.333333333333334,0.5,0.0341742833455403,0.3333333333333333,0.6666666666666666,0.0,0.0,8,3,6561,100,high
main_budget_200,3,AI-Adaptive Pareto-QAOA,1.0237419101217635,0.020545106052831053,0.9969973491801906,0.002802912588519875,0.8331966857264352,0.026982741614793485,0.8114850451911915,0.02287500604708455,33.333333333333336,0.6333333333333333,3.0377108256022134,1.0,1.0,0.0,0.3333333333333333,8,3,6561,200,high
main_budget_200,3,Classical-Seeded Evolutionary MOO,0.9469234202727833,0.04065698565381285,0.9218509876314415,0.025401301937726682,0.9280007702648948,0.03698000420699502,0.9034420843138316,0.020670999668370035,16.666666666666668,0.5666666666666667,0.07638255755106603,1.0,1.0,0.0,1.0,8,3,6561,200,high
main_budget_200,3,Fixed Pareto-QAOA,1.0210315745441008,0.01846623519047251,0.9943956335794876,0.0029381066344329313,0.8359888189308521,0.017662742685963143,0.8141298978550955,0.002221878516763589,30.0,0.6666666666666666,3.030132214228312,1.0,1.0,0.0,0.0,8,3,6561,200,high
main_budget_200,3,MOEA/D-style,0.8318835080635902,0.01662893729012091,0.8104484733608341,0.021860427910922537,0.6859540187377874,0.05509296044493365,0.6689354582465205,0.061772926236594826,13.666666666666666,0.5,0.31215159098307294,0.3333333333333333,0.0,0.0,0.0,8,3,6561,200,high
main_budget_200,3,NSGA-II-style,0.8328101900654395,0.049492046204795956,0.8105824845620496,0.03543613355394116,0.7334035082144776,0.011760437127469698,0.7144603217611113,0.015519717293782546,14.0,0.5333333333333333,0.5886356035868326,0.0,0.6666666666666666,0.0,0.0,8,3,6561,200,high
main_budget_200,3,Quantum-Seeded Evolutionary MOO,1.0254883308461895,0.019699550710330825,0.9987108057546163,0.0009754029378469367,0.9992529465609451,0.023926161975649663,0.973080142664918,0.006526597888533813,34.666666666666664,0.6666666666666666,0.12719217936197913,1.0,1.0,1.0,1.0,8,3,6561,200,high
main_budget_200,3,Random,0.8035148193526248,0.046889241045813615,0.7822747212185283,0.038574576268656215,0.6926802894341914,0.04865743683589259,0.6742610097812486,0.04086762877985803,12.0,0.4666666666666666,0.08540487289428711,0.3333333333333333,0.6666666666666666,0.0,0.0,8,3,6561,200,high
