case_name,method,mean_final_hv,std_final_hv,mean_auc_hv,std_auc_hv,mean_normalized_final_hv,std_normalized_final_hv,mean_normalized_auc_hv,std_normalized_auc_hv,mean_direction_coverage,std_direction_coverage,win_rate_final_hv_vs_fixed,win_rate_auc_hv_vs_fixed,win_rate_coverage_vs_fixed,median_improvement_vs_fixed,best_seed,worst_seed
channel_rich_7x4,Adaptive CVaR only,0.7848109223995731,0.08057254014776614,0.5361842763571355,0.040266963511977456,0.7708936498747622,0.07719231471978227,0.5266236090436404,0.03741422796341121,0.42000000000000004,0.039999999999999994,0.4,0.4,0.4,-0.021595378641187768,0,1
channel_rich_7x4,Adaptive candidate diversity only,0.7800622855518009,0.07890290205857345,0.5349971171451925,0.03826152793615581,0.7662810928106725,0.07606913693919783,0.5254704697776179,0.03556155382569764,0.45999999999999996,0.07999999999999999,0.2,0.4,0.6,-0.021595378641187768,0,1
channel_rich_7x4,Adaptive resources only,0.7848109223995731,0.08057254014776614,0.5361842763571355,0.040266963511977456,0.7708936498747622,0.07719231471978227,0.5266236090436404,0.03741422796341121,0.42000000000000004,0.039999999999999994,0.4,0.4,0.4,-0.021595378641187768,0,1
channel_rich_7x4,Adaptive weights + CVaR,0.7732158666928391,0.12185430048467845,0.5332855124304521,0.05813126727663308,0.7598251873542393,0.12162510156727759,0.5238564934135097,0.05649654188800232,0.36000000000000004,0.08,0.4,0.4,0.2,-0.18623612665682654,3,2
channel_rich_7x4,Adaptive weights + diversity,0.7658670765068267,0.11248247128150105,0.531448314883949,0.0549911132787106,0.7526869885044143,0.11333899964406997,0.5220719437010535,0.05364322079187155,0.42000000000000004,0.116619037896906,0.4,0.4,0.4,-0.18623612665682654,3,2
channel_rich_7x4,Adaptive weights only,0.7732158666928391,0.12185430048467845,0.5332855124304521,0.05813126727663308,0.7598251873542393,0.12162510156727759,0.5238564934135097,0.05649654188800232,0.36000000000000004,0.08,0.4,0.4,0.2,-0.18623612665682654,3,2
channel_rich_7x4,Fixed Pareto-QAOA,0.8408483913745529,0.06246939158262665,0.5937189714746024,0.04677327625783748,0.8252706545424967,0.049399018550494986,0.5825890129955382,0.0366932225548586,0.4,0.0632455532033676,0.0,0.0,0.0,0.0,1,4
channel_rich_7x4,Full AI-Adaptive Pareto-QAOA,0.7658670765068267,0.11248247128150105,0.531448314883949,0.0549911132787106,0.7526869885044143,0.11333899964406997,0.5220719437010535,0.05364322079187155,0.42000000000000004,0.116619037896906,0.4,0.4,0.4,-0.18623612665682654,3,2
channel_rich_7x4,Replay-Adaptive Schedule,0.9017468079651815,0.06601008394279802,0.6216244489262639,0.05796541436904326,0.885353791066556,0.05816259046676254,0.6103341023143413,0.053778674732219735,0.4,0.1414213562373095,1.0,0.8,0.4,0.07146886184008006,0,4
energy_dominated_case,Adaptive CVaR only,0.7648168371832976,0.09085724539505452,0.5500154668492213,0.07159738209704453,0.774642332618408,0.10393039686871067,0.557621952745632,0.0836168880793338,0.31999999999999995,0.07483314773547883,0.2,0.2,0.4,-0.09405797715934139,3,1
energy_dominated_case,Adaptive candidate diversity only,0.7648168371832976,0.09085724539505452,0.5500154668492213,0.07159738209704453,0.774642332618408,0.10393039686871067,0.557621952745632,0.0836168880793338,0.31999999999999995,0.07483314773547883,0.2,0.2,0.4,-0.09405797715934139,3,1
energy_dominated_case,Adaptive resources only,0.7648168371832976,0.09085724539505452,0.5500154668492213,0.07159738209704453,0.774642332618408,0.10393039686871067,0.557621952745632,0.0836168880793338,0.31999999999999995,0.07483314773547883,0.2,0.2,0.4,-0.09405797715934139,3,1
energy_dominated_case,Adaptive weights + CVaR,0.8051946062513954,0.08769000756561655,0.5601099091162456,0.06800710323583341,0.817144178405743,0.11157751608697754,0.5682474141924657,0.08246482022013747,0.38,0.07483314773547883,0.4,0.2,0.6,-0.022845833810110405,3,2
energy_dominated_case,Adaptive weights + diversity,0.8051946062513954,0.08769000756561655,0.5601099091162456,0.06800710323583341,0.817144178405743,0.11157751608697754,0.5682474141924657,0.08246482022013747,0.38,0.07483314773547883,0.4,0.2,0.6,-0.022845833810110405,3,2
energy_dominated_case,Adaptive weights only,0.8051946062513954,0.08769000756561655,0.5601099091162456,0.06800710323583341,0.817144178405743,0.11157751608697754,0.5682474141924657,0.08246482022013747,0.38,0.07483314773547883,0.4,0.2,0.6,-0.022845833810110405,3,2
energy_dominated_case,Fixed Pareto-QAOA,0.8396746467446953,0.05076955803722398,0.5738402288183867,0.02797863457863865,0.8487188324715002,0.041414023226620446,0.580282473404458,0.02541048672571941,0.32,0.07483314773547883,0.0,0.0,0.0,0.0,0,1
energy_dominated_case,Full AI-Adaptive Pareto-QAOA,0.8051946062513954,0.08769000756561655,0.5601099091162456,0.06800710323583341,0.817144178405743,0.11157751608697754,0.5682474141924657,0.08246482022013747,0.38,0.07483314773547883,0.4,0.2,0.6,-0.022845833810110405,3,2
energy_dominated_case,Replay-Adaptive Schedule,0.806665274923341,0.07712795311856727,0.5678865172850214,0.042308990110611774,0.8172179688662597,0.08966047341234377,0.5756227382762612,0.0555737137466538,0.48,0.116619037896906,0.2,0.6,0.6,-0.0505829427440565,2,0
