case_name,method,hypervolume,pareto_size,best_throughput,best_interference,best_energy,feasibility_rate,objective_evaluations,runtime_seconds,hv_at_25pct,hv_at_50pct,hv_at_75pct,hv_at_100pct,final_hv,auc_hv,normalized_final_hv,normalized_auc_hv,evals_to_90pct_ref_hv,hv_per_valid_eval,hypervolume_reference,exact_pareto_size,exact_pareto_hv,direction_coverage,valid_sample_efficiency,hv_25,hv_50,hv_75,archive_size,evals_to_90_ref_hv,runtime,eval_budget,qaoa_seed_archive_fraction,qaoa_descendant_archive_fraction,seed
multi_seed_main,Random,819.2258225969741,20,20.927395366680287,1.3029764301880027,6.47667060782328,1.0,300,0.24900460243225098,678.853868352078,788.9706638715484,819.2258225969741,819.2258225969741,819.2258225969741,731.6182660571666,0.7866758715913014,0.7025491888160166,-1,2.730752741989914,"[-3.2841672085657665, 11.414313176351683, 12.386098515042493]",28,1041.3765722086152,0.5,1.0,678.853868352078,788.9706638715484,819.2258225969741,20,-1,0.24900460243225098,300,0.0,0.0,0
multi_seed_main,Greedy,988.4749778431678,17,23.150184568542446,1.3029764301880027,6.872766454095367,1.0,300,0.3005824089050293,740.682232321661,962.9528043440959,963.6118276034616,988.4749778431678,988.4749778431678,845.8967934595315,0.9492003221723623,0.8122871361178231,105,3.2949165928105595,"[-3.2841672085657665, 11.414313176351683, 12.386098515042493]",28,1041.3765722086152,0.7,1.0,740.682232321661,962.9528043440959,963.6118276034616,17,105,0.3005824089050293,300,0.0,0.0,0
multi_seed_main,Evolutionary MOO,852.8360088246254,11,21.261884146451727,1.359783377571796,6.47667060782328,1.0,300,0.13882088661193848,726.9026550803779,823.0002285369778,823.0002285369778,852.8360088246254,852.8360088246254,750.9025247911188,0.8189506385916466,0.7210672343036859,-1,2.8427866960820847,"[-3.2841672085657665, 11.414313176351683, 12.386098515042493]",28,1041.3765722086152,0.5,1.0,726.9026550803779,823.0002285369778,823.0002285369778,11,-1,0.13882088661193848,300,0.0,0.0,0
multi_seed_main,NSGA-II-style,930.3011974027947,15,20.561044004349636,1.3029764301880027,6.4753638068218935,1.0,300,1.2439162731170654,695.0898050146333,886.266461436086,909.6318315408703,930.3011974027947,930.3011974027947,797.1620433998389,0.8933379357956507,0.7654887431442488,-1,3.1010039913426493,"[-3.2841672085657665, 11.414313176351683, 12.386098515042493]",28,1041.3765722086152,0.5,1.0,695.0898050146333,886.266461436086,909.6318315408703,15,-1,1.2439162731170654,300,0.0,0.0,0
multi_seed_main,MOEA/D-style,938.9284109799459,13,23.150184568542446,1.3029764301880027,6.780132322781957,1.0,300,0.6915903091430664,602.9463711142276,705.0949763159127,854.6932561919289,938.9284109799459,938.9284109799459,698.1811033907018,0.9016223679668623,0.6704405707053276,290,3.129761369933153,"[-3.2841672085657665, 11.414313176351683, 12.386098515042493]",28,1041.3765722086152,0.6,1.0,602.9463711142276,705.0949763159127,854.6932561919289,13,290,0.6915903091430664,300,0.0,0.0,0
multi_seed_main,Classical-Seeded Evolutionary MOO,1017.1724452282747,19,23.150184568542446,1.3029764301880027,6.558610858104487,1.0,300,0.14027190208435059,988.4749778431678,988.8344450755492,988.8344450755492,1017.1724452282747,1017.1724452282747,977.2458605564337,0.9767575652974342,0.9384173666244775,10,3.3905748174275825,"[-3.2841672085657665, 11.414313176351683, 12.386098515042493]",28,1041.3765722086152,0.6,1.0,988.4749778431678,988.8344450755492,988.8344450755492,19,10,0.14027190208435059,300,0.0,0.0,0
multi_seed_main,Quantum-Seeded Evolutionary MOO,1038.9202127873432,27,23.150184568542446,1.3029764301880027,6.4209856090919315,1.0,300,0.1928396224975586,1038.9202127873432,1038.9202127873432,1038.9202127873432,1038.9202127873432,1038.9202127873432,1020.5503787813634,0.9976412380623635,0.9800012848540636,10,3.463067375957811,"[-3.2841672085657665, 11.414313176351683, 12.386098515042493]",28,1041.3765722086152,0.7,1.0,1038.9202127873432,1038.9202127873432,1038.9202127873432,27,10,0.1928396224975586,300,1.0,0.25,0
multi_seed_main,Fixed Pareto-QAOA,1034.4867835879738,25,23.150184568542446,1.3029764301880027,6.47667060782328,1.0,400,3.960170269012451,905.1085355334055,985.9437294151496,1017.6217792687513,1025.679836394632,1034.4867835879738,904.8050253668648,0.9933839604188242,0.8688547923138878,120,2.5862169589699344,"[-3.2841672085657665, 11.414313176351683, 12.386098515042493]",28,1041.3765722086152,0.7,0.0625,905.1085355334055,985.9437294151496,1017.6217792687513,25,120,3.960170269012451,300,0.0,0.0,0
multi_seed_main,AI-Adaptive Pareto-QAOA,1040.1783481006776,27,23.150184568542446,1.3029764301880027,6.4209856090919315,1.0,400,3.561650514602661,898.3011248201847,926.0624796209653,1025.9194812162195,1030.1132655940014,1040.1783481006776,890.6748926850033,0.9988493844206651,0.8552860861811068,200,2.600445870251694,"[-3.2841672085657665, 11.414313176351683, 12.386098515042493]",28,1041.3765722086152,0.7,0.0675,898.3011248201847,926.0624796209653,1025.9194812162195,27,200,3.561650514602661,300,0.0,0.0,0
multi_seed_main,AI-Pareto-QAOA Ensemble,1040.1783481006776,27,23.150184568542446,1.3029764301880027,6.4209856090919315,1.0,800,7.521820783615112,900.390528108401,963.7915612196522,1025.6199251892351,1030.1132655940014,1040.1783481006776,905.0427979632838,0.9988493844206651,0.8690831175929121,120,1.300222935125847,"[-3.2841672085657665, 11.414313176351683, 12.386098515042493]",28,1041.3765722086152,0.7,0.03375,900.390528108401,963.7915612196522,1025.6199251892351,27,120,7.521820783615112,300,0.5,0.0,0
multi_seed_main,Random,1075.691870383326,11,19.92086374350752,1.6415959779246436,6.379892191371997,1.0,300,0.2688472270965576,887.8512935573183,933.1115230414129,1019.6655143239851,1075.691870383326,1075.691870383326,936.1681822016412,0.8813254410399257,0.7670122446610954,-1,3.58563956794442,"[-2.9886034324326345, 13.475970478794151, 12.492081041408012]",28,1220.538770688449,0.5,1.0,887.8512935573183,933.1115230414129,1019.6655143239851,11,-1,0.2688472270965576,300,0.0,0.0,1
multi_seed_main,Greedy,1091.9118900262959,22,20.103354663388266,1.5210415849798933,6.655706820128371,1.0,300,0.10994577407836914,1045.9433627411981,1072.0087218181102,1091.9118900262959,1091.9118900262959,1091.9118900262959,1023.804098375246,0.8946146703806871,0.8388132544103993,-1,3.639706300087653,"[-2.9886034324326345, 13.475970478794151, 12.492081041408012]",28,1220.538770688449,0.9,1.0,1045.9433627411981,1072.0087218181102,1091.9118900262959,22,-1,0.10994577407836914,300,0.0,0.0,1
multi_seed_main,Evolutionary MOO,1011.0242811517479,10,17.469555040707615,1.5210415849798933,5.94601772810477,1.0,300,0.11274385452270508,828.4251080531626,988.4295812997508,988.4295812997508,1011.0242811517479,1011.0242811517479,909.3348158191019,0.8283426183844012,0.7450273909006501,-1,3.370080937172493,"[-2.9886034324326345, 13.475970478794151, 12.492081041408012]",28,1220.538770688449,0.4,1.0,828.4251080531626,988.4295812997508,988.4295812997508,10,-1,0.11274385452270508,300,0.0,0.0,1
multi_seed_main,NSGA-II-style,1049.5556815263137,9,17.91992990972221,1.7921868885709344,5.855221459189975,1.0,300,1.0999059677124023,860.5109984386007,904.9212705614917,947.6316279619754,1049.5556815263137,1049.5556815263137,888.7065867619561,0.8599117920148561,0.7281264701330857,-1,3.4985189384210456,"[-2.9886034324326345, 13.475970478794151, 12.492081041408012]",28,1220.538770688449,0.4,1.0,860.5109984386007,904.9212705614917,947.6316279619754,9,-1,1.0999059677124023,300,0.0,0.0,1
multi_seed_main,MOEA/D-style,1022.7820246483985,16,17.508945433780923,1.5210415849798933,5.570698677089521,1.0,300,0.7975490093231201,884.7347832329049,984.1089647136322,1015.0969935075154,1022.7820246483985,1022.7820246483985,927.4431810094723,0.8379758588672238,0.7598637612194366,-1,3.4092734154946616,"[-2.9886034324326345, 13.475970478794151, 12.492081041408012]",28,1220.538770688449,0.7,1.0,884.7347832329049,984.1089647136322,1015.0969935075154,16,-1,0.7975490093231201,300,0.0,0.0,1
multi_seed_main,Classical-Seeded Evolutionary MOO,1176.340987905859,23,20.103354663388266,1.5210415849798933,6.040195848318421,1.0,300,0.1469278335571289,1161.1125851842935,1161.1125851842935,1161.1125851842935,1176.340987905859,1176.340987905859,1139.7010968088716,0.9637883008356547,0.9337688602599813,50,3.9211366263528635,"[-2.9886034324326345, 13.475970478794151, 12.492081041408012]",28,1220.538770688449,0.7,1.0,1161.1125851842935,1161.1125851842935,1161.1125851842935,23,50,0.1469278335571289,300,0.0,0.0,1
multi_seed_main,Quantum-Seeded Evolutionary MOO,1218.697196405841,28,20.103354663388266,1.5210415849798933,5.568539522524734,1.0,300,0.1756119728088379,1218.697196405841,1218.697196405841,1218.697196405841,1218.697196405841,1218.697196405841,1203.7383009975574,0.9984911792014856,0.9862352019498609,10,4.06232398801947,"[-2.9886034324326345, 13.475970478794151, 12.492081041408012]",28,1220.538770688449,0.7,1.0,1218.697196405841,1218.697196405841,1218.697196405841,28,10,0.1756119728088379,300,1.0,0.25,1
multi_seed_main,Fixed Pareto-QAOA,1210.0559632336037,23,20.103354663388266,1.5210415849798933,5.568539522524734,1.0,400,4.006387710571289,1110.30992540735,1160.6167767235913,1180.1569423087628,1192.7734968891295,1210.0559632336037,1059.14256309267,0.9914113277623026,0.8677664229340761,80,3.025139908084009,"[-2.9886034324326345, 13.475970478794151, 12.492081041408012]",28,1220.538770688449,0.7,0.0575,1110.30992540735,1160.6167767235913,1180.1569423087628,23,80,4.006387710571289,300,0.0,0.0,1
multi_seed_main,AI-Adaptive Pareto-QAOA,1212.0391970764124,26,19.92086374350752,1.5210415849798933,5.568539522524734,1.0,400,4.109697580337524,1105.0862291249525,1194.8983902921386,1205.877006207686,1211.8267077361115,1212.0391970764124,1088.6854872980562,0.9930362116991643,0.891971245357474,80,3.030097992691031,"[-2.9886034324326345, 13.475970478794151, 12.492081041408012]",28,1220.538770688449,0.6,0.065,1105.0862291249525,1194.8983902921386,1205.877006207686,26,80,4.109697580337524,300,0.0,0.0,1
multi_seed_main,AI-Pareto-QAOA Ensemble,1212.0391970764124,28,20.103354663388266,1.5210415849798933,5.568539522524734,1.0,800,8.116085290908813,1105.0862291249525,1194.8983902921386,1204.8145595061815,1211.8267077361115,1212.0391970764124,1081.1440104139917,0.9930362116991643,0.885792435584958,80,1.5150489963455156,"[-2.9886034324326345, 13.475970478794151, 12.492081041408012]",28,1220.538770688449,0.7,0.035,1105.0862291249525,1194.8983902921386,1204.8145595061815,28,80,8.116085290908813,300,0.5,0.0,1
multi_seed_main,Random,1163.1561964315558,13,21.141575169657884,2.234973378728339,6.308554970394126,1.0,300,0.15061640739440918,877.4202288178034,898.1062811844249,987.2457969169274,1163.1561964315558,1163.1561964315558,917.6348620712955,0.8775838446416869,0.6923416929767079,-1,3.8771873214385195,"[-2.375592694859481, 15.155494153313839, 12.510216913955418]",52,1325.4074850323466,0.5,1.0,877.4202288178034,898.1062811844249,987.2457969169274,13,-1,0.15061640739440918,300,0.0,0.0,2
multi_seed_main,Greedy,1232.4781581792415,19,21.141575169657884,1.8515884974692127,6.909944750174189,1.0,300,0.09854316711425781,1113.0991078802656,1174.1308578016337,1180.8419816610337,1232.4781581792415,1232.4781581792415,1127.443542971746,0.9298862214809077,0.8506391850836957,243,4.108260527264139,"[-2.375592694859481, 15.155494153313839, 12.510216913955418]",52,1325.4074850323466,0.5,1.0,1113.0991078802656,1174.1308578016337,1180.8419816610337,19,243,0.09854316711425781,300,0.0,0.0,2
multi_seed_main,Evolutionary MOO,899.7643235496885,19,16.89938696564901,2.4628071736771298,6.85956543885241,1.0,300,0.16194653511047363,837.6272120514781,882.7891279053237,882.7891279053237,899.7643235496885,899.7643235496885,846.7084153585578,0.6788586406147613,0.638828756378944,-1,2.9992144118322948,"[-2.375592694859481, 15.155494153313839, 12.510216913955418]",52,1325.4074850323466,0.5,1.0,837.6272120514781,882.7891279053237,882.7891279053237,19,-1,0.16194653511047363,300,0.0,0.0,2
multi_seed_main,NSGA-II-style,1094.702733065675,13,17.56280108833161,1.8515884974692127,6.304426157862124,1.0,300,1.010901689529419,1014.2087239520466,1047.3300940581448,1065.4106512793521,1094.702733065675,1094.702733065675,1007.296950648317,0.8259367367605885,0.7599903893886142,-1,3.6490091102189166,"[-2.375592694859481, 15.155494153313839, 12.510216913955418]",52,1325.4074850323466,0.6,1.0,1014.2087239520466,1047.3300940581448,1065.4106512793521,13,-1,1.010901689529419,300,0.0,0.0,2
multi_seed_main,MOEA/D-style,1154.0764406217793,18,18.35112424713197,1.9611067843419372,6.304426157862124,1.0,300,0.6614539623260498,899.4485059563049,1060.041752191832,1093.2025994971032,1154.0764406217793,1154.0764406217793,992.3140902918119,0.8707333055340442,0.7486860467425189,-1,3.8469214687392643,"[-2.375592694859481, 15.155494153313839, 12.510216913955418]",52,1325.4074850323466,0.6,1.0,899.4485059563049,1060.041752191832,1093.2025994971032,18,-1,0.6614539623260498,300,0.0,0.0,2
multi_seed_main,Classical-Seeded Evolutionary MOO,1243.6107283460112,22,21.141575169657884,1.8515884974692127,6.871460491439507,1.0,300,0.13022375106811523,1232.4781581792415,1236.1100605031522,1236.1100605031522,1243.6107283460112,1243.6107283460112,1218.7795963843632,0.9382855781259307,0.9195508627707946,20,4.145369094486704,"[-2.375592694859481, 15.155494153313839, 12.510216913955418]",52,1325.4074850323466,0.6,1.0,1232.4781581792415,1236.1100605031522,1236.1100605031522,22,20,0.13022375106811523,300,0.0,0.0,2
multi_seed_main,Quantum-Seeded Evolutionary MOO,1325.4074850323466,50,21.141575169657884,1.8515884974692127,6.185284906234214,1.0,300,0.28118896484375,1325.4074850323466,1325.4074850323466,1325.4074850323466,1325.4074850323466,1325.4074850323466,1294.3394819640296,1.0,0.9765596592601415,20,4.418024950107822,"[-2.375592694859481, 15.155494153313839, 12.510216913955418]",52,1325.4074850323466,0.6,1.0,1325.4074850323466,1325.4074850323466,1325.4074850323466,50,20,0.28118896484375,300,1.0,0.25,2
multi_seed_main,Fixed Pareto-QAOA,1323.2757162770076,42,21.141575169657884,1.8515884974692127,6.185284906234214,1.0,400,2.9899845123291016,1165.7123450780039,1245.9596216968012,1322.9796372832106,1323.2757162770076,1323.2757162770076,1158.4392830269767,0.998391612557336,0.874025004467743,120,3.308189290692519,"[-2.375592694859481, 15.155494153313839, 12.510216913955418]",52,1325.4074850323466,0.6,0.105,1165.7123450780039,1245.9596216968012,1322.9796372832106,42,120,2.9899845123291016,300,0.0,0.0,2
multi_seed_main,AI-Adaptive Pareto-QAOA,1324.2231690571582,47,21.141575169657884,1.8515884974692127,6.185284906234214,1.0,405,3.853712558746338,1144.177532929164,1247.1834148711623,1323.4040171743197,1323.4336250736994,1324.2231690571582,1149.4876307285158,0.9991064514207422,0.8672711175314228,120,3.269686837178168,"[-2.375592694859481, 15.155494153313839, 12.510216913955418]",52,1325.4074850323466,0.6,0.11604938271604938,1144.177532929164,1247.1834148711623,1323.4040171743197,47,120,3.853712558746338,300,0.0,0.0,2
