case_name,seed,method,final_hv,normalized_final_hv,auc_hv,normalized_auc_hv,hv_25,hv_50,hv_75,archive_size,direction_coverage,feasibility_rate,valid_sample_efficiency,duplicate_rate_mean,runtime,eval_budget,wins_final_hv_against_fixed,wins_auc_hv_against_fixed,wins_coverage_against_fixed
main_dense_small_cell,0,Fixed Pareto-QAOA,0.9193055493650157,0.8748130249683581,0.5755786191457076,0.5477217811529167,0.3457522318044538,0.6915044636089076,0.8054050064869617,11,0.4,1.0,1.0,0.0,0.041294097900390625,300,False,False,False
main_dense_small_cell,0,Adaptive weights only,0.7274157812679121,0.6922103325279025,0.5130663254429966,0.4882349557013002,0.33121238012601856,0.6624247602520371,0.6949202707599746,3,0.3,1.0,0.65,0.0,0.040198326110839844,300,False,False,False
main_dense_small_cell,0,Adaptive CVaR only,0.7501475244325342,0.7138419054193994,0.5187492612341521,0.4936428489241744,0.33121238012601856,0.6624247602520371,0.7062861423422857,9,0.4,1.0,0.65,0.0,0.04411506652832031,300,False,False,False
main_dense_small_cell,0,Adaptive candidate diversity only,0.7501475244325342,0.7138419054193994,0.5187492612341521,0.4936428489241744,0.33121238012601856,0.6624247602520371,0.7062861423422857,9,0.4,1.0,0.65,0.0,0.04250526428222656,300,False,False,False
main_dense_small_cell,0,Adaptive resources only,0.7501475244325342,0.7138419054193994,0.5187492612341521,0.4936428489241744,0.33121238012601856,0.6624247602520371,0.7062861423422857,9,0.4,1.0,0.65,0.0,0.044000864028930664,300,False,False,False
main_dense_small_cell,0,Adaptive weights + CVaR,0.7274157812679121,0.6922103325279025,0.5130663254429966,0.4882349557013002,0.33121238012601856,0.6624247602520371,0.6949202707599746,3,0.3,1.0,0.65,0.0,0.045220375061035156,300,False,False,False
main_dense_small_cell,0,Adaptive weights + diversity,0.7274157812679121,0.6922103325279025,0.5130663254429966,0.4882349557013002,0.33121238012601856,0.6624247602520371,0.6949202707599746,3,0.3,1.0,0.65,0.0,0.042246341705322266,300,False,False,False
main_dense_small_cell,0,Full AI-Adaptive Pareto-QAOA,0.7274157812679121,0.6922103325279025,0.5130663254429966,0.4882349557013002,0.33121238012601856,0.6624247602520371,0.6949202707599746,3,0.3,1.0,0.65,0.0,0.039049625396728516,300,False,False,False
main_dense_small_cell,0,Replay-Adaptive Schedule,0.7419254045644794,0.7060177194799219,0.5234044320418008,0.4980727189046139,0.337923080900681,0.6758461618013619,0.7088857831829207,13,0.5,1.0,1.0,0.0,0.05000138282775879,300,False,False,True
main_dense_small_cell,1,Fixed Pareto-QAOA,0.841002261527817,0.8170264623955431,0.6293778022602786,0.6114351207056639,0.41912723687832437,0.8382544737566487,0.8396283676422329,5,0.3,1.0,0.65,0.0,0.05103754997253418,300,False,False,False
main_dense_small_cell,1,Adaptive weights only,0.835924827602832,0.8120937790157846,0.560996714194083,0.5450034818941505,0.352015507293375,0.70403101458675,0.769977921094791,14,0.5,1.0,1.0,0.0,0.04262661933898926,300,False,False,True
main_dense_small_cell,1,Adaptive CVaR only,0.7353319013713636,0.7143686165273909,0.5358484826362159,0.520572191272052,0.352015507293375,0.70403101458675,0.7196814579790568,18,0.6,1.0,1.0,0.0,0.04907941818237305,300,False,False,True
main_dense_small_cell,1,Adaptive candidate diversity only,0.70403101458675,0.6839600742804086,0.5280232609400626,0.5129700557103065,0.352015507293375,0.70403101458675,0.70403101458675,10,0.6,1.0,0.8,0.0,0.03463339805603027,300,False,False,True
main_dense_small_cell,1,Adaptive resources only,0.7353319013713636,0.7143686165273909,0.5358484826362159,0.520572191272052,0.352015507293375,0.70403101458675,0.7196814579790568,18,0.6,1.0,1.0,0.0,0.05597043037414551,300,False,False,True
main_dense_small_cell,1,Adaptive weights + CVaR,0.835924827602832,0.8120937790157846,0.560996714194083,0.5450034818941505,0.352015507293375,0.70403101458675,0.769977921094791,14,0.5,1.0,1.0,0.0,0.0736701488494873,300,False,False,True
main_dense_small_cell,1,Adaptive weights + diversity,0.8165111096543598,0.7932335190343547,0.556143284706965,0.540288416898793,0.352015507293375,0.70403101458675,0.7602710621205548,9,0.4,1.0,0.7,0.0,0.03486227989196777,300,False,False,True
main_dense_small_cell,1,Full AI-Adaptive Pareto-QAOA,0.8165111096543598,0.7932335190343547,0.556143284706965,0.540288416898793,0.352015507293375,0.70403101458675,0.7602710621205548,9,0.4,1.0,0.7,0.0,0.030624866485595703,300,False,False,True
main_dense_small_cell,1,Replay-Adaptive Schedule,0.8679425285886201,0.8431987000928506,0.646566409459272,0.628133704735376,0.4295807773121171,0.8591615546242342,0.8635520416064271,11,0.7,1.0,0.65,0.0,0.05140352249145508,300,True,True,True
main_dense_small_cell,2,Fixed Pareto-QAOA,0.8326134694596846,0.8329657228017884,0.6207061016241444,0.6209687034277198,0.4125527342592233,0.8251054685184466,0.8288594689890656,8,0.6,1.0,0.55,0.0,0.04295063018798828,300,False,False,False
main_dense_small_cell,2,Adaptive weights only,0.805382069220432,0.8057228017883755,0.47917134578544723,0.47937406855439646,0.2778258284803392,0.5556516569606784,0.6805168630905551,11,0.4,1.0,0.7,0.0,0.051311492919921875,300,False,False,False
main_dense_small_cell,2,Adaptive CVaR only,0.6962181190271921,0.6965126676602087,0.45188035823713724,0.4520715350223547,0.2778258284803392,0.5556516569606784,0.6259348879939353,10,0.5,1.0,0.7,0.0,0.0463259220123291,300,False,False,False
main_dense_small_cell,2,Adaptive candidate diversity only,0.6962181190271921,0.6965126676602087,0.45188035823713724,0.4520715350223547,0.2778258284803392,0.5556516569606784,0.6259348879939353,10,0.5,1.0,0.7,0.0,0.0588533878326416,300,False,False,False
main_dense_small_cell,2,Adaptive resources only,0.6962181190271921,0.6965126676602087,0.45188035823713724,0.4520715350223547,0.2778258284803392,0.5556516569606784,0.6259348879939353,10,0.5,1.0,0.7,0.0,0.04842782020568848,300,False,False,False
main_dense_small_cell,2,Adaptive weights + CVaR,0.805382069220432,0.8057228017883755,0.47917134578544723,0.47937406855439646,0.2778258284803392,0.5556516569606784,0.6805168630905551,11,0.4,1.0,0.7,0.0,0.04865264892578125,300,False,False,False
main_dense_small_cell,2,Adaptive weights + diversity,0.805382069220432,0.8057228017883755,0.47917134578544723,0.47937406855439646,0.2778258284803392,0.5556516569606784,0.6805168630905551,11,0.4,1.0,0.7,0.0,0.04629707336425781,300,False,False,False
main_dense_small_cell,2,Full AI-Adaptive Pareto-QAOA,0.805382069220432,0.8057228017883755,0.47917134578544723,0.47937406855439646,0.2778258284803392,0.5556516569606784,0.6805168630905551,11,0.4,1.0,0.7,0.0,0.04920458793640137,300,False,False,False
main_dense_small_cell,2,Replay-Adaptive Schedule,0.8688425533666114,0.869210134128167,0.6321766586177027,0.6324441132637855,0.4149660202760498,0.8299320405520996,0.8493872969593554,14,0.7,1.0,1.0,0.0,0.043865203857421875,300,True,True,True
main_dense_small_cell,3,Fixed Pareto-QAOA,0.8736778812404337,0.9072228374553956,0.6429939784458027,0.6676818014027317,0.4245745081356943,0.8491490162713886,0.8614134487559111,15,0.6,1.0,1.0,0.0,0.047925710678100586,300,False,False,False
main_dense_small_cell,3,Adaptive weights only,0.8835131266144953,0.9174357081333826,0.6546066778031283,0.6797403716008366,0.43372839614950465,0.8674567922990092,0.8754849594567522,14,0.5,1.0,1.0,0.0,0.05211234092712402,300,True,True,False
